Type,Management,year_restoration,Year,Transect,Evenness - functional,Richness - taxa,Richness - ant,detritivores,herb chew,herb suck,parasitoid,pollinator,predator,scavenger
CSS,active,5,2017,BF16,0.273125911,14,2,0.238058793,0.026961211,0.015028701,0.000869716,0,0.681161941,0.037919638
CSS,active,5,2017,BF19,0.336129845,14,3,0.012331882,0.410343366,0.00832402,0.00470153,0,0.502562719,0.061736483
CSS,active,5,2017,BF23,0.413378088,11,3,0.48727341,0,0.006011083,0.257725181,0,0.051375974,0.197614351
GL,active,5,2017,BF25,0.394485717,12,2,0.021660305,0,0.002576336,0.324618321,0.095419847,0.493225191,0.0625
CSS,active,5,2017,BF29,0.207628857,10,2,0.005789167,0,0.022977157,0.000359018,0,0.814208141,0.156666517
GL,active,5,2017,BF56,0.183203155,10,0,0.015346839,0,0.105279312,0.002762431,0,0.876611418,0
CSS,active,5,2017,BF6,0.421538269,11,4,0.226530829,0,0,0.466093601,0,0.261148254,0.046227316
GL,active,5,2017,BF60,0.177111866,10,2,0.077738885,0,0,1.3061E-05,0,0.894297581,0.027950473
GL,passive,5,2017,BFP1,0.281844485,10,3,0.025486951,0,0,0.663195417,0,0.060980267,0.250337365
GL,passive,5,2017,BFP19,0.338222743,10,2,0.025210084,0,0.012605042,0.257703081,0,0.120915033,0.58356676
GL,active,5,2019,BF3,0.183549882,13,2,0.876801848,0.013586034,0.000366823,0,0,0.095659262,0.013586034
CSS,active,5,2019,BF31,0.439153581,11,1,0.381690661,0,0.203026947,0,0,0.369139904,0.046142488
GL,active,5,2019,BF32,0.188725631,13,0,0.030238986,0.865550317,0.007803609,0.015363356,0,0.081043733,0
CSS,active,5,2019,BF33,0.321678696,14,3,0.561101316,0,0.020412315,0.001831005,0,0.353316154,0.063339211
GL,active,5,2019,BF34,0.240575632,10,0,0.733088433,0,0.031538393,0,0,0.235373174,0
CSS,active,5,2019,BF45,0.431929585,16,3,0.5144639,0.047973135,0.030558887,0.198177021,0.005996642,0.139841689,0.062988726
GL,active,5,2019,BF47,0.313826812,14,2,0.536140848,0,0.026851278,0.000353888,0,0.407679377,0.028974609
GL,active,5,2019,BF48,0.213487105,13,1,0.105801718,0,0.071532001,0.002702964,0,0.807896515,0.012066802
GL,active,5,2019,BF53,0.254511783,12,1,0.316987054,0,0.000113897,0.000101241,0,0.67882408,0.003973728
GL,active,5,2019,BF57,0.435714164,13,0,0.185655803,0.038758041,0.03636557,0,0,0.462757191,0.276463395
CSS,passive,5,2019,BFP13,0.241454593,10,0,0.054587991,0,0.098518326,0.002079543,0.089160385,0.755653756,0
GL,passive,5,2019,BFP14,0.258782311,12,1,0.113915177,0.121135647,0.000560813,0,0,0.72295829,0.041430074
GL,passive,5,2019,BFP16,0.246781634,9,0,0.231312857,0,0.04267464,0.002446317,0,0.723566186,0
CSS,active,5,2019,owm1,0.3711076,13,2,0.533226051,0,0.0102234,0.00591632,0.287201817,0.129875047,0.033557365
CSS,active,5,2019,owm2,0.3723588,15,3,0.556493294,0,0.224206739,0.00235525,0,0.099443899,0.117500818
CSS,active,5,2019,owu2,0.3721243,14,3,0.557564225,0,0.005946717,0.243196955,0.034681256,0.073977165,0.084633682
CSS,active,5,2019,owu3,0.3589756,11,2,0.086350796,0,0.176168464,0.001027221,0,0.578325629,0.158127889
CSS,active,5,2019,owbuf1,0.5631145,13,2,0.24031594,0.061255357,0.061255357,0.184606336,0,0.387446433,0.065120578
CSS,active,5,2019,owbuf2,0.1826949,12,1,0.033588611,0,0.00813499,0.043598462,0,0.881915536,0.032762401
