Type,Management,year_restoration,Year,Transect,Evenness - functional,Richness - taxa,Richness - ant,detritivores,herb chew,herb suck,parasitoid,pollinator,predator,scavenger,vol_detritivores,vol_herb chew,vol_herb suck,vol_parasitoid,vol_pollinator,vol_predator,vol_scavenger,vol_total
CSS,active,5,2017,BF16,0.273125911,14,2,0.238058793,0.026961211,0.015028701,0.000869716,0,0.681161941,0.037919638,111.9683257,12.68090785,7.068583471,0.409061543,0,320.3770008,17.83508329,470.3389626
CSS,active,5,2017,BF19,0.336129845,14,3,0.012331882,0.410343366,0.00832402,0.00470153,0,0.502562719,0.061736483,5.235987756,174.2274926,3.534291735,1.996220332,0,213.3828635,26.2126637,424.5895196
CSS,active,5,2017,BF23,0.413378088,11,3,0.48727341,0,0.006011083,0.257725181,0,0.051375974,0.197614351,84.88845149,0,1.047197551,44.89859501,0,8.95026657,34.4266195,174.2111301
GL,active,5,2017,BF25,0.394485717,12,2,0.021660305,0,0.002576336,0.324618321,0.095419847,0.493225191,0.0625,3.714278814,0,0.441786467,55.66509483,16.36246174,84.57756472,10.71741244,171.478599
CSS,active,5,2017,BF29,0.207628857,10,2,0.005789167,0,0.022977157,0.000359018,0,0.814208141,0.156666517,2.110757564,0,8.37758041,0.130899694,0,296.8641433,57.12135393,364.6047349
GL,active,5,2017,BF56,0.183203155,10,0,0.015346839,0,0.105279312,0.002762431,0,0.876611418,0,0.818123087,0,5.612324376,0.147262156,0,46.73119072,0,53.30890034
CSS,active,5,2017,BF6,0.421538269,11,4,0.226530829,0,0,0.466093601,0,0.261148254,0.046227316,174.6365541,0,0,359.3196598,0,201.3237292,35.63744166,770.9173848
GL,active,5,2017,BF60,0.177111866,10,2,0.077738885,0,0,1.31E-05,0,0.894297581,0.027950473,97.38937226,0,0,0.016362462,0,1120.354118,35.01566812,1252.77552
GL,passive,5,2017,BFP1,0.281844485,10,3,0.025486951,0,0,0.663195417,0,0.060980267,0.250337365,16.3788242,0,0,426.1930409,0,39.18809586,160.8757238,642.6356847
GL,passive,5,2017,BFP19,0.338222743,10,2,0.025210084,0,0.012605042,0.257703081,0,0.120915033,0.58356676,0.883572934,0,0.441786467,9.032078879,0,4.23787759,20.45307717,35.04839304
