,LOMARIDGE,,
and,11.5,,
Date,Rainfall (in.) ALERT transmitted,,
Date and time,Total,Quality,Comments
10/1/11 0:00,1.1,255,Sites:
11/1/11 0:00,1.42,1,LOMARIDGE - Loma Ridge Lat:33.764979 Long:-117.746298 Elev:1304ft
12/1/11 0:00,0.28,255, 
1/1/12 0:00,0.99,255,Variables:
2/1/12 0:00,0.51,255,11 - Rainfall (Inches)
3/1/12 0:00,1.93,255, 
4/1/12 0:00,1.14,151,Qualities:
5/1/12 0:00,0.27,151,1 - Good continuous records
6/1/12 0:00,0,151,2 - Good quality edited data
7/1/12 0:00,0,151,151 - Data Missing
8/1/12 0:00,0,151,255 - No data exists
9/1/12 0:00,0,151, 
10/1/12 0:00,0.24,151, 
11/1/12 0:00,0.98,151, 
12/1/12 0:00,2.28,1, 
1/1/13 0:00,1.07,151, 
2/1/13 0:00,0.24,151, 
3/1/13 0:00,0.08,151, 
4/1/13 0:00,0,151, 
5/1/13 0:00,0.47,1, 
6/1/13 0:00,0,151, 
7/1/13 0:00,0,151, 
8/1/13 0:00,0,151, 
9/1/13 0:00,0,151, 
10/1/13 0:00,0.08,1, 
11/1/13 0:00,0.12,151, 
12/1/13 0:00,0.51,1, 
1/1/14 0:00,0.04,1, 
2/1/14 0:00,1.65,1, 
3/1/14 0:00,0.08,1, 
4/1/14 0:00,0.36,1, 
5/1/14 0:00,0,1, 
6/1/14 0:00,0,1, 
7/1/14 0:00,0,1, 
8/1/14 0:00,0.04,1, 
9/1/14 0:00,0,1, 
10/1/14 0:00,0,1, 
11/1/14 0:00,0.51,1, 
12/1/14 0:00,3.78,1, 
1/1/15 0:00,1.1,1, 
2/1/15 0:00,0.36,1, 
3/1/15 0:00,0.31,1, 
4/1/15 0:00,0.24,1, 
5/1/15 0:00,0.82,1, 
6/1/15 0:00,0.04,1, 
7/1/15 0:00,1.42,1, 
8/1/15 0:00,0,1, 
9/1/15 0:00,2.32,1, 
10/1/15 0:00,0.12,1, 
11/1/15 0:00,0.04,1, 
12/1/15 0:00,1.69,1, 
1/1/16 0:00,0.59,1, 
2/1/16 0:00,0.04,1, 
3/1/16 0:00,0.36,1, 
4/1/16 0:00,0,255, 
5/1/16 0:00,0,255, 
6/1/16 0:00,0,255, 
7/1/16 0:00,0,255, 
8/1/16 0:00,0,255, 
9/1/16 0:00,0,255, 
10/1/16 0:00,0,255, 
11/1/16 0:00,0,255, 
12/1/16 0:00,0,255, 
1/1/17 0:00,0,255, 
2/1/17 0:00,0,255, 
3/1/17 0:00,0,255, 
4/1/17 0:00,0,255, 
5/1/17 0:00,0,255, 
6/1/17 0:00,0,255, 
7/1/17 0:00,0,255, 
8/1/17 0:00,0,255, 
9/1/17 0:00,0,255, 
10/1/17 0:00,0,1, 
11/1/17 0:00,0.08,1, 
12/1/17 0:00,0,1, 
1/1/18 0:00,1.18,1, 
2/1/18 0:00,0.28,1, 
3/1/18 0:00,1.57,1, 
4/1/18 0:00,0,1, 
5/1/18 0:00,0.47,1, 
6/1/18 0:00,0,1, 
7/1/18 0:00,0,1, 
8/1/18 0:00,0,1, 
9/1/18 0:00,0.08,1, 
10/1/18 0:00,1.1,1, 
11/1/18 0:00,1.73,1, 
12/1/18 0:00,2.21,1, 
1/1/19 0:00,5.67,2, 
2/1/19 0:00,6.73,2, 
3/1/19 0:00,2.09,1, 
4/1/19 0:00,0.08,1, 
5/1/19 0:00,1.11,1, 
6/1/19 0:00,0.2,1, 
7/1/19 0:00,0,1, 
