Time,LOMARIDGE,,
and,11.5,,
Date,Rainfall (in.) ALERT transmitted,,
Date and time,Total,Quality,Comments
10/1/2016 0:00,0,255,Sites:
11/1/2016 0:00,0,255,LOMARIDGE - Loma Ridge Lat:33.764979 Long:-117.746298 Elev:1304ft
12/1/2016 0:00,0,255, 
1/1/2017 0:00,0,255,Variables:
2/1/2017 0:00,0,255,11 - Rainfall (Inches)
3/1/2017 0:00,0,255, 
4/1/2017 0:00,0,255,Qualities:
5/1/2017 0:00,0,255,1 - Good continuous records
6/1/2017 0:00,0,255,2 - Good quality edited data
,,,255 - No data exists
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
,,, 
