"","x"
"1","BF16"
"2","BF19"
"3","BF23"
"4","BF25"
"5","BF29"
"6","BF56"
"7","BF6"
"8","BF60"
"9","BFP1"
"10","BFP19"
"11","BF3"
"12","BF31"
"13","BF32"
"14","BF33"
"15","BF34"
"16","BF45"
"17","BF47"
"18","BF48"
"19","BF53"
"20","BF57"
"21","BFP13"
"22","BFP14"
"23","BFP16"
"24","owm1"
"25","owm2"
"26","owu2"
"27","owu3"
"28","owbuf1"
"29","owbuf2"
"30","owbuf3"
"31","DC3-ES2-1"
"32","DC3-ES3-1"
"33","DC3-ES3-2"
"34","DC3-NG1-1"
"35","DC3-NG1-2"
"36","DC3-NG3-1"
"37","DC3-NG4-1"
"38","DC3-CSS2-1"
"39","DC2-CSS3-2"
"40","DC2-CSS3-3"
"41","DC3-NG5-1"
"42","DC3-NG7-1"
